name,jobs,machines,status,time,makespan,bound,gap,NC,RF,RS,solver
j3010_1,30,4,Optimal,0.1,42,42.0,0.0,1.5,0.75,0.5,CPSat
j3010_10,30,4,Optimal,0.09,41,41.0,0.0,1.5,0.75,0.5,CPSat
j3010_2,30,4,Optimal,0.06,56,56.0,0.0,1.5,0.75,0.5,CPSat
j3010_3,30,4,Optimal,0.05,62,62.0,0.0,1.5,0.75,0.5,CPSat
j3010_4,30,4,Optimal,0.05,58,58.0,0.0,1.5,0.75,0.5,CPSat
j3010_5,30,4,Optimal,0.08,41,41.0,0.0,1.5,0.75,0.5,CPSat
j3010_6,30,4,Optimal,0.04,44,44.0,0.0,1.5,0.75,0.5,CPSat
j3010_7,30,4,Optimal,0.04,49,49.0,0.0,1.5,0.75,0.5,CPSat
j3010_8,30,4,Optimal,0.05,54,54.0,0.0,1.5,0.75,0.5,CPSat
j3010_9,30,4,Optimal,0.02,49,49.0,0.0,1.5,0.75,0.5,CPSat
j3011_1,30,4,Optimal,0.09,54,54.0,0.0,1.5,0.75,0.7,CPSat
j3011_10,30,4,Optimal,0.02,38,38.0,0.0,1.5,0.75,0.7,CPSat
j3011_2,30,4,Optimal,0.04,56,56.0,0.0,1.5,0.75,0.7,CPSat
j3011_3,30,4,Optimal,0.02,81,81.0,0.0,1.5,0.75,0.7,CPSat
j3011_4,30,4,Optimal,0.04,63,63.0,0.0,1.5,0.75,0.7,CPSat
j3011_5,30,4,Optimal,0.04,49,49.0,0.0,1.5,0.75,0.7,CPSat
j3011_6,30,4,Optimal,0.04,44,44.0,0.0,1.5,0.75,0.7,CPSat
j3011_7,30,4,Optimal,0.03,36,36.0,0.0,1.5,0.75,0.7,CPSat
j3011_8,30,4,Optimal,0.1,62,62.0,0.0,1.5,0.75,0.7,CPSat
j3011_9,30,4,Optimal,0.02,67,67.0,0.0,1.5,0.75,0.7,CPSat
j3012_1,30,4,Optimal,0.02,47,47.0,0.0,1.5,0.75,1,CPSat
j3012_10,30,4,Optimal,0.02,57,57.0,0.0,1.5,0.75,1,CPSat
j3012_2,30,4,Optimal,0.02,46,46.0,0.0,1.5,0.75,1,CPSat
j3012_3,30,4,Optimal,0.02,37,37.0,0.0,1.5,0.75,1,CPSat
j3012_4,30,4,Optimal,0.02,63,63.0,0.0,1.5,0.75,1,CPSat
j3012_5,30,4,Optimal,0.02,47,47.0,0.0,1.5,0.75,1,CPSat
j3012_6,30,4,Optimal,0.03,53,53.0,0.0,1.5,0.75,1,CPSat
j3012_7,30,4,Optimal,0.02,55,55.0,0.0,1.5,0.75,1,CPSat
j3012_8,30,4,Optimal,0.02,35,35.0,0.0,1.5,0.75,1,CPSat
j3012_9,30,4,Optimal,0.02,52,52.0,0.0,1.5,0.75,1,CPSat
j3013_1,30,4,Optimal,19.42,58,58.0,0.0,1.5,1,0.2,CPSat
j3013_10,30,4,Optimal,0.37,64,64.0,0.0,1.5,1,0.2,CPSat
j3013_2,30,4,Optimal,80.41,62,62.0,0.0,1.5,1,0.2,CPSat
j3013_3,30,4,Optimal,6.63,76,76.0,0.0,1.5,1,0.2,CPSat
j3013_4,30,4,Optimal,0.84,72,72.0,0.0,1.5,1,0.2,CPSat
j3013_5,30,4,Optimal,47.35,67,67.0,0.0,1.5,1,0.2,CPSat
j3013_6,30,4,Optimal,38.61,64,64.0,0.0,1.5,1,0.2,CPSat
j3013_7,30,4,Optimal,6.63,77,77.0,0.0,1.5,1,0.2,CPSat
j3013_8,30,4,Optimal,5.03,106,106.0,0.0,1.5,1,0.2,CPSat
j3013_9,30,4,Optimal,0.47,71,71.0,0.0,1.5,1,0.2,CPSat
j3014_1,30,4,Optimal,0.11,50,50.0,0.0,1.5,1,0.5,CPSat
j3014_10,30,4,Optimal,0.06,61,61.0,0.0,1.5,1,0.5,CPSat
j3014_2,30,4,Optimal,0.25,53,53.0,0.0,1.5,1,0.5,CPSat
j3014_3,30,4,Optimal,0.05,58,58.0,0.0,1.5,1,0.5,CPSat
j3014_4,30,4,Optimal,0.1,50,50.0,0.0,1.5,1,0.5,CPSat
j3014_5,30,4,Optimal,0.06,52,52.0,0.0,1.5,1,0.5,CPSat
j3014_6,30,4,Optimal,0.07,35,35.0,0.0,1.5,1,0.5,CPSat
j3014_7,30,4,Optimal,0.15,50,50.0,0.0,1.5,1,0.5,CPSat
j3014_8,30,4,Optimal,0.04,54,54.0,0.0,1.5,1,0.5,CPSat
j3014_9,30,4,Optimal,0.08,46,46.0,0.0,1.5,1,0.5,CPSat
j3015_1,30,4,Optimal,0.05,46,46.0,0.0,1.5,1,0.7,CPSat
j3015_10,30,4,Optimal,0.03,65,65.0,0.0,1.5,1,0.7,CPSat
j3015_2,30,4,Optimal,0.03,47,47.0,0.0,1.5,1,0.7,CPSat
j3015_3,30,4,Optimal,0.03,48,48.0,0.0,1.5,1,0.7,CPSat
j3015_4,30,4,Optimal,0.02,48,48.0,0.0,1.5,1,0.7,CPSat
j3015_5,30,4,Optimal,0.12,58,58.0,0.0,1.5,1,0.7,CPSat
j3015_6,30,4,Optimal,0.04,67,67.0,0.0,1.5,1,0.7,CPSat
j3015_7,30,4,Optimal,0.03,47,47.0,0.0,1.5,1,0.7,CPSat
j3015_8,30,4,Optimal,0.03,50,50.0,0.0,1.5,1,0.7,CPSat
j3015_9,30,4,Optimal,0.03,54,54.0,0.0,1.5,1,0.7,CPSat
j3016_1,30,4,Optimal,0.03,51,51.0,0.0,1.5,1,1,CPSat
j3016_10,30,4,Optimal,0.03,51,51.0,0.0,1.5,1,1,CPSat
j3016_2,30,4,Optimal,0.02,48,48.0,0.0,1.5,1,1,CPSat
j3016_3,30,4,Optimal,0.02,36,36.0,0.0,1.5,1,1,CPSat
j3016_4,30,4,Optimal,0.02,47,47.0,0.0,1.5,1,1,CPSat
j3016_5,30,4,Optimal,0.03,51,51.0,0.0,1.5,1,1,CPSat
j3016_6,30,4,Optimal,0.02,51,51.0,0.0,1.5,1,1,CPSat
j3016_7,30,4,Optimal,0.03,34,34.0,0.0,1.5,1,1,CPSat
j3016_8,30,4,Optimal,0.03,44,44.0,0.0,1.5,1,1,CPSat
j3016_9,30,4,Optimal,0.02,44,44.0,0.0,1.5,1,1,CPSat
j3017_1,30,4,Optimal,0.03,64,64.0,0.0,1.8,0.25,0.2,CPSat
j3017_10,30,4,Optimal,0.02,66,66.0,0.0,1.8,0.25,0.2,CPSat
j3017_2,30,4,Optimal,0.03,68,68.0,0.0,1.8,0.25,0.2,CPSat
j3017_3,30,4,Optimal,0.03,60,60.0,0.0,1.8,0.25,0.2,CPSat
j3017_4,30,4,Optimal,0.03,49,49.0,0.0,1.8,0.25,0.2,CPSat
j3017_5,30,4,Optimal,0.03,47,47.0,0.0,1.8,0.25,0.2,CPSat
j3017_6,30,4,Optimal,0.03,63,63.0,0.0,1.8,0.25,0.2,CPSat
j3017_7,30,4,Optimal,0.02,57,57.0,0.0,1.8,0.25,0.2,CPSat
j3017_8,30,4,Optimal,0.04,61,61.0,0.0,1.8,0.25,0.2,CPSat
j3017_9,30,4,Optimal,0.03,48,48.0,0.0,1.8,0.25,0.2,CPSat
j3018_1,30,4,Optimal,0.03,53,53.0,0.0,1.8,0.25,0.5,CPSat
j3018_10,30,4,Optimal,0.02,49,49.0,0.0,1.8,0.25,0.5,CPSat
j3018_2,30,4,Optimal,0.03,55,55.0,0.0,1.8,0.25,0.5,CPSat
j3018_3,30,4,Optimal,0.03,56,56.0,0.0,1.8,0.25,0.5,CPSat
j3018_4,30,4,Optimal,0.02,70,70.0,0.0,1.8,0.25,0.5,CPSat
j3018_5,30,4,Optimal,0.03,52,52.0,0.0,1.8,0.25,0.5,CPSat
j3018_6,30,4,Optimal,0.03,62,62.0,0.0,1.8,0.25,0.5,CPSat
j3018_7,30,4,Optimal,0.03,48,48.0,0.0,1.8,0.25,0.5,CPSat
j3018_8,30,4,Optimal,0.03,52,52.0,0.0,1.8,0.25,0.5,CPSat
j3018_9,30,4,Optimal,0.03,47,47.0,0.0,1.8,0.25,0.5,CPSat
j3019_1,30,4,Optimal,0.02,40,40.0,0.0,1.8,0.25,0.7,CPSat
j3019_10,30,4,Optimal,0.02,47,47.0,0.0,1.8,0.25,0.7,CPSat
j3019_2,30,4,Optimal,0.03,58,58.0,0.0,1.8,0.25,0.7,CPSat
j3019_3,30,4,Optimal,0.03,83,83.0,0.0,1.8,0.25,0.7,CPSat
j3019_4,30,4,Optimal,0.03,39,39.0,0.0,1.8,0.25,0.7,CPSat
j3019_5,30,4,Optimal,0.02,48,48.0,0.0,1.8,0.25,0.7,CPSat
j3019_6,30,4,Optimal,0.02,49,49.0,0.0,1.8,0.25,0.7,CPSat
j3019_7,30,4,Optimal,0.03,57,57.0,0.0,1.8,0.25,0.7,CPSat
j3019_8,30,4,Optimal,0.03,55,55.0,0.0,1.8,0.25,0.7,CPSat
j3019_9,30,4,Optimal,0.02,38,38.0,0.0,1.8,0.25,0.7,CPSat
j301_1,30,4,Optimal,0.11,43,43.0,0.0,1.5,0.25,0.2,CPSat
j301_10,30,4,Optimal,0.03,45,45.0,0.0,1.5,0.25,0.2,CPSat
j301_2,30,4,Optimal,0.02,47,47.0,0.0,1.5,0.25,0.2,CPSat
j301_3,30,4,Optimal,0.03,47,47.0,0.0,1.5,0.25,0.2,CPSat
j301_4,30,4,Optimal,0.03,62,62.0,0.0,1.5,0.25,0.2,CPSat
j301_5,30,4,Optimal,0.03,39,39.0,0.0,1.5,0.25,0.2,CPSat
j301_6,30,4,Optimal,0.03,48,48.0,0.0,1.5,0.25,0.2,CPSat
j301_7,30,4,Optimal,0.03,60,60.0,0.0,1.5,0.25,0.2,CPSat
j301_8,30,4,Optimal,0.04,53,53.0,0.0,1.5,0.25,0.2,CPSat
j301_9,30,4,Optimal,0.03,49,49.0,0.0,1.5,0.25,0.2,CPSat
j3020_1,30,4,Optimal,0.01,57,57.0,0.0,1.8,0.25,1,CPSat
j3020_10,30,4,Optimal,0.01,37,37.0,0.0,1.8,0.25,1,CPSat
j3020_2,30,4,Optimal,0.01,70,70.0,0.0,1.8,0.25,1,CPSat
j3020_3,30,4,Optimal,0.03,49,49.0,0.0,1.8,0.25,1,CPSat
j3020_4,30,4,Optimal,0.01,43,43.0,0.0,1.8,0.25,1,CPSat
j3020_5,30,4,Optimal,0.02,61,61.0,0.0,1.8,0.25,1,CPSat
j3020_6,30,4,Optimal,0.02,51,51.0,0.0,1.8,0.25,1,CPSat
j3020_7,30,4,Optimal,0.01,42,42.0,0.0,1.8,0.25,1,CPSat
j3020_8,30,4,Optimal,0.01,51,51.0,0.0,1.8,0.25,1,CPSat
j3020_9,30,4,Optimal,0.01,41,41.0,0.0,1.8,0.25,1,CPSat
j3021_1,30,4,Optimal,0.06,84,84.0,0.0,1.8,0.5,0.2,CPSat
j3021_10,30,4,Optimal,0.07,69,69.0,0.0,1.8,0.5,0.2,CPSat
j3021_2,30,4,Optimal,0.14,59,59.0,0.0,1.8,0.5,0.2,CPSat
j3021_3,30,4,Optimal,0.04,76,76.0,0.0,1.8,0.5,0.2,CPSat
j3021_4,30,4,Optimal,0.17,70,70.0,0.0,1.8,0.5,0.2,CPSat
j3021_5,30,4,Optimal,0.05,55,55.0,0.0,1.8,0.5,0.2,CPSat
j3021_6,30,4,Optimal,0.07,76,76.0,0.0,1.8,0.5,0.2,CPSat
j3021_7,30,4,Optimal,0.07,65,65.0,0.0,1.8,0.5,0.2,CPSat
j3021_8,30,4,Optimal,0.14,62,62.0,0.0,1.8,0.5,0.2,CPSat
j3021_9,30,4,Optimal,0.17,69,69.0,0.0,1.8,0.5,0.2,CPSat
j3022_1,30,4,Optimal,0.04,42,42.0,0.0,1.8,0.5,0.5,CPSat
j3022_10,30,4,Optimal,0.04,55,55.0,0.0,1.8,0.5,0.5,CPSat
j3022_2,30,4,Optimal,0.03,45,45.0,0.0,1.8,0.5,0.5,CPSat
j3022_3,30,4,Optimal,0.03,63,63.0,0.0,1.8,0.5,0.5,CPSat
j3022_4,30,4,Optimal,0.03,42,42.0,0.0,1.8,0.5,0.5,CPSat
j3022_5,30,4,Optimal,0.04,52,52.0,0.0,1.8,0.5,0.5,CPSat
j3022_6,30,4,Optimal,0.04,52,52.0,0.0,1.8,0.5,0.5,CPSat
j3022_7,30,4,Optimal,0.04,60,60.0,0.0,1.8,0.5,0.5,CPSat
j3022_8,30,4,Optimal,0.04,55,55.0,0.0,1.8,0.5,0.5,CPSat
j3022_9,30,4,Optimal,0.02,76,76.0,0.0,1.8,0.5,0.5,CPSat
j3023_1,30,4,Optimal,0.03,63,63.0,0.0,1.8,0.5,0.7,CPSat
j3023_10,30,4,Optimal,0.03,61,61.0,0.0,1.8,0.5,0.7,CPSat
j3023_2,30,4,Optimal,0.02,53,53.0,0.0,1.8,0.5,0.7,CPSat
j3023_3,30,4,Optimal,0.03,46,46.0,0.0,1.8,0.5,0.7,CPSat
j3023_4,30,4,Optimal,0.03,65,65.0,0.0,1.8,0.5,0.7,CPSat
j3023_5,30,4,Optimal,0.03,52,52.0,0.0,1.8,0.5,0.7,CPSat
j3023_6,30,4,Optimal,0.03,48,48.0,0.0,1.8,0.5,0.7,CPSat
j3023_7,30,4,Optimal,0.03,60,60.0,0.0,1.8,0.5,0.7,CPSat
j3023_8,30,4,Optimal,0.04,48,48.0,0.0,1.8,0.5,0.7,CPSat
j3023_9,30,4,Optimal,0.03,63,63.0,0.0,1.8,0.5,0.7,CPSat
j3024_1,30,4,Optimal,0.02,53,53.0,0.0,1.8,0.5,1,CPSat
